row_num,country,year,disease_name,country_pop,incidence_rate_pct,prevalence_rate_pct,mortality_rate_per_100_people_pct,population_affected,pop_affected_male,pop_affected_female,ages_0_18_pct,ages_19_35_pct,ages_36_60_pct,ages_61_plus_pct,pop_affected_urban_pct,pop_affected_rural_pct,healthcare_access_pct,doctors_per_1000,hospital_beds_per_1000,treatment_type,recovery_rate_pct,dalys,improvement_in_5_years_pct,average_annual_treatment_cost_usd,availability_of_vaccines_treatment,composite_health_index,per_capita_income_usd,education_index,urbanization_rate_pct
1.0,Italy,2013.0,Malaria,60311613.0,0.01,0.0,0.0503,3517.0,1846.0,1671.0,29.0,28.0,32.0,12.0,69.0,31.0,82.17,4.38,8.52,Medication,91.89,0.0,24.1,1167.0,High,76.48,35500.22,0.78,69.0
2.0,France,2002.0,Ebola,61812142.0,0.01,0.0,0.3701,3338.0,1619.0,1719.0,9.0,25.0,37.0,29.0,77.0,23.0,80.73,3.29,9.29,Therapy,48.36,0.0,,12399.0,,74.82,23962.59,0.74,77.3
3.0,Turkey,2015.0,COVID-19,78218479.0,1.67,1.77,0.1364,1306249.0,704068.0,602181.0,17.0,25.0,30.0,28.0,72.0,28.0,67.8,1.82,4.84,Medication,79.91,17.69,86.26,2038.0,,66.92,10802.0,0.76,72.5
4.0,Indonesia,2011.0,Parkinson's Disease,249470032.0,,,,,,,,,,,,,59.55,0.6,0.48,Medication,64.46,0.0,-27.74,1953.0,Low,58.1,3579.46,0.61,49.2
5.0,Italy,2013.0,Tuberculosis,60311613.0,0.28,2.06,0.1019,168873.0,102844.0,66029.0,14.0,23.0,37.0,27.0,69.0,31.0,82.17,4.87,6.79,Medication,83.34,9.87,-32.34,889.0,High,76.48,35500.22,0.78,69.0
6.0,Saudi Arabia,2011.0,Dengue,25091867.0,0.0,0.0,0.1027,777.0,395.0,382.0,26.0,35.0,25.0,14.0,82.0,18.0,71.39,2.38,3.14,Medication,90.46,0.0,-0.04,472.0,Medium,70.35,25919.09,0.68,81.8
7.0,USA,2013.0,Malaria,316726282.0,0.01,0.0,0.0389,21914.0,11417.0,10497.0,31.0,30.0,29.0,10.0,81.0,19.0,83.12,2.57,5.54,Medication,92.66,0.0,25.42,15832.0,High,76.97,52733.88,0.9,81.2
8.0,Nigeria,2007.0,Tuberculosis,153267261.0,0.68,6.38,0.2091,1042217.0,652428.0,389789.0,25.0,27.0,31.0,17.0,41.0,59.0,45.12,0.69,0.67,Medication,63.38,34.54,-14.61,35.0,Medium,46.32,1798.33,0.43,41.3
9.0,Italy,2000.0,Rabies,56942108.0,0.0,0.0,0.5476,489.0,318.0,171.0,13.0,24.0,39.0,24.0,67.0,33.0,78.47,4.18,9.03,Medication,16.71,0.16,,518.0,Medium,72.55,20073.64,0.71,67.0
10.0,Australia,2006.0,Cholera,20450966.0,0.01,0.0,0.1005,1597.0,842.0,755.0,23.0,30.0,28.0,20.0,85.0,15.0,86.53,3.65,11.61,Medication,95.49,0.0,0.28,1612.0,Medium,82.54,39827.18,0.89,84.6
11.0,Canada,2011.0,Leprosy,34339221.0,0.0,0.0,,1369.0,826.0,543.0,6.0,20.0,44.0,30.0,79.0,21.0,87.46,2.82,3.62,Medication,90.58,0.0,-18.29,9945.0,Medium,83.65,51897.07,0.88,78.9
12.0,Mexico,2009.0,Cancer,111999721.0,0.91,11.14,0.245,1019197.0,521829.0,497368.0,8.0,10.0,35.0,47.0,76.0,24.0,61.37,1.95,3.15,Medication,59.2,50.2,21.26,6409.0,Medium,61.87,8423.57,0.64,75.7
13.0,Nigeria,2007.0,Diabetes,153267261.0,0.59,10.86,0.1281,904277.0,489214.0,415063.0,10.0,17.0,41.0,32.0,41.0,59.0,45.12,0.27,1.41,Medication,61.03,52.27,-11.26,137.0,Medium,46.32,1798.33,0.43,41.3
14.0,France,2004.0,Measles,62707588.0,0.75,0.82,0.0335,470307.0,234683.0,235624.0,48.0,20.0,11.0,21.0,78.0,22.0,81.11,3.68,10.85,Medication,97.88,7.52,,327.0,Medium,75.21,33405.58,0.75,77.6
15.0,Australia,2020.0,Zika,25649248.0,0.01,0.0,0.0,1336.0,676.0,660.0,19.0,30.0,15.0,36.0,86.0,14.0,87.6,4.98,7.4,Medication,100.0,0.0,-40.95,1336.0,Medium,83.92,55758.83,0.92,86.0
16.0,USA,2024.0,Dengue,340110988.0,0.0,0.0,0.0,10160.0,5293.0,4867.0,23.0,35.0,31.0,11.0,83.0,17.0,81.57,4.29,5.64,Medication,98.99,0.0,19.19,4096.0,Medium,74.39,80706.05,0.91,83.0
17.0,Nigeria,2009.0,Leprosy,162049464.0,0.0,0.0,,5774.0,3678.0,2096.0,15.0,22.0,41.0,22.0,43.0,57.0,47.38,0.34,1.5,Medication,68.69,0.0,-3.05,1857.0,Low,47.54,1801.44,0.43,42.8
18.0,Australia,2006.0,Alzheimer's Disease,20450966.0,,,,,,,,,,,,,86.53,3.07,4.14,Therapy,61.17,0.0,-36.88,21213.0,Medium,82.54,39827.18,0.89,84.6
19.0,France,2015.0,Polio,66548272.0,0.0,0.0,0.0088,1373.0,680.0,693.0,35.0,20.0,14.0,31.0,79.0,21.0,82.82,2.95,4.73,Vaccination,88.6,0.0,3.57,197.0,Medium,76.93,36410.97,0.81,79.3
20.0,Indonesia,2001.0,Hypertension,219097902.0,0.68,11.18,0.0955,1489866.0,792609.0,697257.0,6.0,9.0,35.0,50.0,43.0,57.0,50.43,0.63,0.42,Medication,69.94,49.16,,128.0,Medium,53.62,779.71,0.51,42.7
21.0,Turkey,2019.0,Leprosy,82579440.0,0.01,0.0,,4202.0,2567.0,1635.0,11.0,19.0,40.0,29.0,74.0,26.0,71.56,1.17,2.9,Medication,83.17,0.0,0.89,8910.0,Medium,69.35,8915.5,0.79,74.5
22.0,China,2001.0,Ebola,1271850000.0,0.01,0.0,0.5661,100003.0,49401.0,50602.0,13.0,25.0,35.0,27.0,37.0,63.0,47.51,1.52,2.55,Medication,45.02,0.0,,5816.0,None,56.38,1047.45,0.48,37.1
23.0,South Africa,2014.0,Malaria,55594838.0,21.55,24.55,0.1287,11980688.0,6565417.0,5415271.0,37.0,30.0,25.0,8.0,63.0,37.0,59.59,1.19,2.61,Medication,76.79,196.0,14.84,187.0,Medium,53.35,6851.52,0.74,63.3
24.0,Japan,2021.0,Diabetes,125681593.0,0.94,18.53,0.0211,1181407.0,609606.0,571801.0,1.0,12.0,48.0,39.0,92.0,8.0,89.55,5.04,3.13,Medication,86.48,66.41,13.52,3487.0,High,84.31,40059.26,0.85,91.8
